doc_id,text,class,h1,h2,h3,h4,h5
doc0,Last updated: 12 April 2020,LAST_UPDATED_DATE,Drupal.org Privacy Policy,,,,
doc0,"We value your privacy and strive to protect your personal information. Please read this Policy to understand what types of information we collect from you, for what purposes and what choices you have regarding our collection of your information.

This policy covers Drupal.org website and all *.drupal.org subsites (collectively, the ""Website""). By accessing, using or posting information to this Website, you agree to this Privacy Policy and the Terms of Service.

As stated in Section F of our Terms of Service, Drupal.org serves an international community, and so we are committed to complying with any applicable data protection laws and regulations, such as the EU's General Data Protection Regulation(GDPR).",UNKNOWN,Drupal.org Privacy Policy,,,,
doc0,"(2) [p] Disclaimer: This summary is not itself a part of the Privacy Policy and is not a legal document. It is simply a handy reference for understanding privacy rights and regulations. Think of it as the user-friendly interface to the legal language of our Privacy Policy.
 (3) [p] In plain language, regulations such as GDPR define the following roles, rights, and responsibilities:
 (4) [ul] Data Subject |- this is you, the end user.|
|Data Controller| - this is us, the Drupal Association as the owners and operators of Drupal.org and its sub-sites.|
|Data Processor| - any other organization that processes personal data on behalf of the Data Controller.|
",UNKNOWN,Drupal.org Privacy Policy,,Human Readable Summary,,
doc0,"Right to be Informed - A data subject has the right to know whether personal information is being processed; where; and for what purpose.
 
This information is outlined in the section below titled ""Information We Collect About You"" and ""How we Use Your Information"".

Right to Access - A data subject has a right to access the information about them that is stored by the Data Controller.
 
This information is outlined in the section below titled ""Information We Collect About You"" and ""How we Use Your Information"".

Right to Rectification - A data subject has the right to correct any errors in the data about them. This can be done by editing your user account, or contacting the Drupal Association directly.",PERSONAL_DATA_RIGHTS,Drupal.org Privacy Policy,,Human Readable Summary,Rights of the Data Subject,
doc0,"Right to Restrict Processing - A data subject has the right to request that data not be processed, and yet also not be deleted by the Data Controller.
 
Right to Object - A data subject has the right to opt out of marketing, processing based on legitimate interest, or processing for research or statistical purposes.
 
Right to be Forgotten - Also known as the right to revoke consent, the right to be forgotten states that a data subject has the right to request erasure of data, the cessation of processing by the controller, and halting processing of the data by third party processors.
The conditions for this, as outlined in article 17, include the data no longer being relevant to original purposes for processing, or a data subjects withdrawing consent.",PERSONAL_DATA_RIGHTS,Drupal.org Privacy Policy,,Human Readable Summary,Rights of the Data Subject,
doc0,"It should also be noted that this right requires controllers to compare the subjects' rights to ""the public interest in the availability of the data"" when considering such requests.

This information is outlined in the sections below titled ""Accessing and Correcting Your Information"".

Data Portability - A data subject has the right to receive a copy of their data in a 'commonly used and machine readable format.'
This information is outlined in the sections below titled ""Your Choices About Use and Disclosure of Your Information"" and ""Accessing and Correcting Your Information"".",PERSONAL_DATA_RIGHTS,Drupal.org Privacy Policy,,Human Readable Summary,Rights of the Data Subject,
doc0,"Privacy by Design - 'The controller shall..implement appropriate technical and organisational measures..in an effective way.. in order to meet the requirements of this Regulation and protect the rights of data subjects'. Article 23 of the GDPR calls for controllers to hold and process only the data absolutely necessary for the completion of its duties, as well as limit the access to personal data to those who need it to carry out these duties.
 
Breach Notification - The Data Controller must notify the appropriate data processing authority and any affected end user of any breach that might result in 'risk to the rights and freedoms of individuals' within 72 hours of becoming aware of the breach.
A Data Processor must notify the Data Controller of any breach 'without undue delay.'

Data protection officer - A Data Controller or Processor must appoint a Data Protection Officer when: a Data Controller represents a public authority; or the core operations of the Controller require regular and systematic monitoring of Subjects on a large scale; or when the Controller's core operations depend on processing a large scale of special categories of data (including but not limited to health data, criminal conviction information, etc).
The Drupal Association's core operations do not require the Association to establish a Data Protection Officer.",JURISDICTION,Drupal.org Privacy Policy,,Human Readable Summary,Responsibilities of the Data Controller and Data Processors,
doc0,"(17) [p] We collect several types of information from and about you, including:
 (18) [p] 1. Your email address and password. We treat this information as ""Personally Identifiable Information"" or ""PII"". We never store passwords in plain text format, only secure password hashes.
 (19) [p] 2. Non-personally identifiable information, such as demographic information about you, information about your computer system or device, your preferences, your online activity, and your location information (""Non-Personally Identifiable Information"" a ""Non-PII""). Non-PII, by itself, does not identify you, but it can be combined with other information in way that allows you to be identified. If this happens, we will treat the combined information as PII.
",PERSONAL_DATA_WE_COLLECT,Drupal.org Privacy Policy,Information We Collect About You,,,
doc0," (20) [p] We may collect information from or about you in the following ways:
 (21) [ul] Information Provided by You|. We collect information provided by you when you (1) create your public profile; (2) communicate with us or request information about or from us by e-mail or other means; (3) participate in our online forums or post content on this Website (""User Contributions""), (4) fill out forms or fields on this Website; (5) sign-up for any of our newsletters, materials or our services on this Website or other sites; or (6) participate in our online surveys or questionnaires.|
|Automatic Information Collection|. We also use automatic data collection technologies to collect and store certain information about your equipment, browsing actions and patterns when you interact with this Website through your computer or mobile device. In addition, we may allow third party ad networks to use automatic data collection technologies to collect similar information about you for purposes of providing interest-based ads.|
",PERSONAL_DATA_WE_COLLECT,Drupal.org Privacy Policy,Information We Collect About You,,,
doc0,"(22) [ul] When you purchase a membership or donate on drupal.org, we will collect additional information about you, such as your name, address, etc. We treat this information as nonpublic, ""Personally Identifiable Information"" or ""PII"".|
|All credit card transactions happen via payment services such as Chargify, Braintree, Authorize.net or PayPal. We do not store any credit card information you provide during purchase. We recommend that you review the privacy and security policies of these payment services to determine how they handle information they may collect from or about you.|
",PERSONAL_DATA_WE_COLLECT,Drupal.org Privacy Policy,Information We Collect About You,,Drupal Association Membership,
